Statistical profiling result from wlog.log, (8360 ticks, 8 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%    0.0%  Function: ^<anonymous> node:buffer:349:36
      1    0.0%    0.0%  Function: ^<anonymous> node:_http_outgoing:558:44
      1    0.0%    0.0%  Function: ^<anonymous> file:///home/sashashadow/Escritorio/Coding/backend-coder/Clase%2032/Entregable/server.js:244:21
      1    0.0%    0.0%  Function: ^<anonymous> file:///home/sashashadow/Escritorio/Coding/backend-coder/Clase%2032/Entregable/middlewares.js:32:12
      1    0.0%    0.0%  Function: ^<anonymous> :1:20
      1    0.0%    0.0%  Function: ^<anonymous> :1:1
      1    0.0%    0.0%  Function: ^<anonymous> /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/mongodb/lib/sdam/server.js:210:101
      1    0.0%    0.0%  Function: ^<anonymous> /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/mongodb/lib/operations/connect.js:53:28
      1    0.0%    0.0%  Function: ^<anonymous> /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/mongodb/lib/cmap/connection_pool.js:472:32
      1    0.0%    0.0%  Function: ^<anonymous> /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/mongodb/lib/cmap/connection_pool.js:271:27
      1    0.0%    0.0%  Function: ^<anonymous> /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/mongodb/lib/cmap/connection.js:63:44
      1    0.0%    0.0%  Function: ^<anonymous> /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/express/lib/request.js:467:36
      1    0.0%    0.0%  Function: ^<anonymous> /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/ejs/lib/ejs.js:742:32

 [C++]:
   ticks  total  nonlib   name
   1643   19.7%   67.4%  epoll_pwait@@GLIBC_2.6
    174    2.1%    7.1%  __write@@GLIBC_2.2.5
     28    0.3%    1.1%  __read@@GLIBC_2.2.5
     27    0.3%    1.1%  std::basic_ostream<char, std::char_traits<char> >& std::__ostream_insert<char, std::char_traits<char> >(std::basic_ostream<char, std::char_traits<char> >&, char const*, long)@@GLIBCXX_3.4.9
     18    0.2%    0.7%  __libc_malloc@@GLIBC_2.2.5
     17    0.2%    0.7%  __mprotect@@GLIBC_PRIVATE
     15    0.2%    0.6%  fwrite@@GLIBC_2.2.5
     12    0.1%    0.5%  __open@@GLIBC_2.2.5
      8    0.1%    0.3%  pthread_cond_signal@@GLIBC_2.3.2
      5    0.1%    0.2%  cfree@GLIBC_2.2.5
      4    0.0%    0.2%  std::ostream::sentry::sentry(std::ostream&)@@GLIBCXX_3.4
      4    0.0%    0.2%  __pthread_rwlock_unlock@GLIBC_2.2.5
      4    0.0%    0.2%  __pthread_mutex_lock@GLIBC_2.2.5
      4    0.0%    0.2%  _IO_file_xsputn@@GLIBC_2.2.5
      3    0.0%    0.1%  syscall@@GLIBC_2.2.5
      3    0.0%    0.1%  epoll_ctl@@GLIBC_2.3.2
      3    0.0%    0.1%  __munmap@@GLIBC_PRIVATE
      2    0.0%    0.1%  std::ostreambuf_iterator<char, std::char_traits<char> > std::num_put<char, std::ostreambuf_iterator<char, std::char_traits<char> > >::_M_insert_int<long>(std::ostreambuf_iterator<char, std::char_traits<char> >, std::ios_base&, char, long) const@@GLIBCXX_3.4
      2    0.0%    0.1%  std::ostream& std::ostream::_M_insert<long>(long)@@GLIBCXX_3.4.9
      2    0.0%    0.1%  std::_Rb_tree_insert_and_rebalance(bool, std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node_base&)@@GLIBCXX_3.4
      2    0.0%    0.1%  operator new(unsigned long)@@GLIBCXX_3.4
      2    0.0%    0.1%  __pthread_rwlock_wrlock@GLIBC_2.2.5
      2    0.0%    0.1%  __pthread_once@GLIBC_2.2.5
      2    0.0%    0.1%  __madvise@@GLIBC_PRIVATE
      1    0.0%    0.0%  std::ostream::flush()@@GLIBCXX_3.4
      1    0.0%    0.0%  std::num_put<char, std::ostreambuf_iterator<char, std::char_traits<char> > >::do_put(std::ostreambuf_iterator<char, std::char_traits<char> >, std::ios_base&, char, long) const@@GLIBCXX_3.4
      1    0.0%    0.0%  std::__detail::_Prime_rehash_policy::_M_next_bkt(unsigned long) const@@GLIBCXX_3.4.18
      1    0.0%    0.0%  __vsnprintf@@GLIBC_2.2.5
      1    0.0%    0.0%  __pthread_rwlock_tryrdlock@GLIBC_2.2.5
      1    0.0%    0.0%  __pthread_mutex_unlock@GLIBC_2.2.5
      1    0.0%    0.0%  __mmap@@GLIBC_PRIVATE
      1    0.0%    0.0%  __lll_lock_wait_private@@GLIBC_PRIVATE
      1    0.0%    0.0%  __libc_realloc@@GLIBC_2.2.5
      1    0.0%    0.0%  __errno_location@@GLIBC_2.2.5
      1    0.0%    0.0%  __clock_gettime@@GLIBC_PRIVATE
      1    0.0%    0.0%  _IO_padn@@GLIBC_2.2.5

 [Summary]:
   ticks  total  nonlib   name
    430    5.1%   17.7%  JavaScript
   1998   23.9%   82.0%  C++
    328    3.9%   13.5%  GC
   5924   70.9%          Shared libraries
      8    0.1%          Unaccounted

 [C++ entry points]:
   ticks    cpp   total   name
    146   56.4%    1.7%  __write@@GLIBC_2.2.5
     24    9.3%    0.3%  std::basic_ostream<char, std::char_traits<char> >& std::__ostream_insert<char, std::char_traits<char> >(std::basic_ostream<char, std::char_traits<char> >&, char const*, long)@@GLIBCXX_3.4.9
     15    5.8%    0.2%  fwrite@@GLIBC_2.2.5
     12    4.6%    0.1%  __open@@GLIBC_2.2.5
     12    4.6%    0.1%  __libc_malloc@@GLIBC_2.2.5
     10    3.9%    0.1%  __mprotect@@GLIBC_PRIVATE
      4    1.5%    0.0%  std::ostream::sentry::sentry(std::ostream&)@@GLIBCXX_3.4
      4    1.5%    0.0%  _IO_file_xsputn@@GLIBC_2.2.5
      3    1.2%    0.0%  syscall@@GLIBC_2.2.5
      3    1.2%    0.0%  pthread_cond_signal@@GLIBC_2.3.2
      3    1.2%    0.0%  cfree@GLIBC_2.2.5
      2    0.8%    0.0%  std::ostreambuf_iterator<char, std::char_traits<char> > std::num_put<char, std::ostreambuf_iterator<char, std::char_traits<char> > >::_M_insert_int<long>(std::ostreambuf_iterator<char, std::char_traits<char> >, std::ios_base&, char, long) const@@GLIBCXX_3.4
      2    0.8%    0.0%  std::ostream& std::ostream::_M_insert<long>(long)@@GLIBCXX_3.4.9
      2    0.8%    0.0%  std::_Rb_tree_insert_and_rebalance(bool, std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node_base&)@@GLIBCXX_3.4
      2    0.8%    0.0%  operator new(unsigned long)@@GLIBCXX_3.4
      2    0.8%    0.0%  __read@@GLIBC_2.2.5
      2    0.8%    0.0%  __pthread_rwlock_wrlock@GLIBC_2.2.5
      2    0.8%    0.0%  __pthread_rwlock_unlock@GLIBC_2.2.5
      2    0.8%    0.0%  __pthread_mutex_lock@GLIBC_2.2.5
      1    0.4%    0.0%  std::ostream::flush()@@GLIBCXX_3.4
      1    0.4%    0.0%  std::num_put<char, std::ostreambuf_iterator<char, std::char_traits<char> > >::do_put(std::ostreambuf_iterator<char, std::char_traits<char> >, std::ios_base&, char, long) const@@GLIBCXX_3.4
      1    0.4%    0.0%  std::__detail::_Prime_rehash_policy::_M_next_bkt(unsigned long) const@@GLIBCXX_3.4.18
      1    0.4%    0.0%  __pthread_rwlock_tryrdlock@GLIBC_2.2.5
      1    0.4%    0.0%  __madvise@@GLIBC_PRIVATE
      1    0.4%    0.0%  __errno_location@@GLIBC_2.2.5
      1    0.4%    0.0%  __clock_gettime@@GLIBC_PRIVATE

 [Bottom up (heavy) profile]:
  Note: percentage shows a share of a particular caller in the total
  amount of its parent calls.
  Callers occupying less than 1.0% are not shown.

   ticks parent  name
   5762   68.9%  /usr/local/bin/node
   3110   54.0%    /usr/local/bin/node
    377   12.1%      Function: ^compileFunction node:vm:308:25
    375   99.5%        Function: ^wrapSafe node:internal/modules/cjs/loader:1017:18
    373   99.5%          Function: ^Module._compile node:internal/modules/cjs/loader:1059:37
    363   97.3%            Function: ^Module._extensions..js node:internal/modules/cjs/loader:1114:37
     10    2.7%            LazyCompile: ~Module._extensions..js node:internal/modules/cjs/loader:1114:37
    226    7.3%      Function: ^memoryUsage node:internal/process/per_thread:168:23
    155   68.6%        Function: ^<anonymous> file:///home/sashashadow/Escritorio/Coding/backend-coder/Clase%2032/Entregable/server.js:244:21
    155  100.0%          Function: ^handle /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/express/lib/router/layer.js:86:49
    154   99.4%            Function: ^next /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/express/lib/router/route.js:116:16
     71   31.4%        Function: ^<anonymous> :1:20
     71  100.0%          Function: ^anonymous /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/ejs/lib/ejs.js:695:59
     70   98.6%            Function: ^tryHandleCache /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/ejs/lib/ejs.js:254:24
      1    1.4%            LazyCompile: ~tryHandleCache /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/ejs/lib/ejs.js:254:24
    198    6.4%      /usr/local/bin/node
     42   21.2%        LazyCompile: *scanLine /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/ejs/lib/ejs.js:815:22
     24   57.1%          Function: ^<anonymous> /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/ejs/lib/ejs.js:742:32
     15   62.5%            LazyCompile: *compile /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/ejs/lib/ejs.js:571:21
      9   37.5%            /usr/local/bin/node
     18   42.9%          LazyCompile: *<anonymous> /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/ejs/lib/ejs.js:742:32
     11   61.1%            /usr/local/bin/node
      7   38.9%            LazyCompile: *compile /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/ejs/lib/ejs.js:571:21
     12    6.1%        Function: ^command /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/mongodb/lib/cmap/connection.js:254:12
     11   91.7%          Function: ^<anonymous> /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/mongodb/lib/sdam/server.js:204:42
      7   63.6%            Function: ^<anonymous> /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/mongodb/lib/cmap/connection_pool.js:269:23
      4   36.4%            LazyCompile: *processWaitQueue /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/mongodb/lib/cmap/connection_pool.js:426:26
      1    8.3%          Function: ^<anonymous> /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/mongodb/lib/cmap/connect.js:78:43
      1  100.0%            Function: ^<anonymous> /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/mongodb/lib/cmap/auth/scram.js:25:32
      8    4.0%        Function: ^exports.escapeRegExpChars /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/ejs/lib/utils.js:41:38
      8  100.0%          Function: ^createRegex /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/ejs/lib/ejs.js:560:25
      8  100.0%            Function: ^Template /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/ejs/lib/ejs.js:509:18
      7    3.5%        /usr/local/bin/node
      4   57.1%          Function: ^isValid /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/mongodb/lib/read_preference.js:133:19
      4  100.0%            Function: ^isValid /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/mongodb/lib/read_preference.js:149:12
      3   42.9%          LazyCompile: *processTicksAndRejections node:internal/process/task_queues:68:35
      6    3.0%        Function: ^expressInit /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/express/lib/middleware/init.js:29:30
      3   50.0%          LazyCompile: *trim_prefix /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/express/lib/router/index.js:293:23
      3  100.0%            LazyCompile: *next /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/express/lib/router/index.js:177:16
      3   50.0%          Function: ^handle /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/express/lib/router/layer.js:86:49
      3  100.0%            Function: ^trim_prefix /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/express/lib/router/index.js:293:23
      5    2.5%        LazyCompile: *processTicksAndRejections node:internal/process/task_queues:68:35
      5    2.5%        LazyCompile: *exports.escapeXML /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/ejs/lib/utils.js:96:30
      5  100.0%          Function: ^<anonymous> :1:20
      5  100.0%            Function: ^anonymous /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/ejs/lib/ejs.js:695:59
      5    2.5%        Function: ^stripSemi /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/ejs/lib/ejs.js:364:19
      5  100.0%          LazyCompile: *scanLine /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/ejs/lib/ejs.js:815:22
      3   60.0%            LazyCompile: *<anonymous> /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/ejs/lib/ejs.js:742:32
      2   40.0%            Function: ^<anonymous> /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/ejs/lib/ejs.js:742:32
      5    2.5%        Function: ^removeColors node:internal/util:76:22
      5  100.0%          Function: ^isBelowBreakLength node:internal/util/inspect:1878:28
      5  100.0%            Function: ^reduceToSingleString node:internal/util/inspect:1902:30
      5    2.5%        Function: ^pipe /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/send/index.js:506:43
      5  100.0%          Function: ^serveStatic /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/serve-static/index.js:72:31
      3   60.0%            Function: ^handle /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/express/lib/router/layer.js:86:49
      2   40.0%            LazyCompile: *trim_prefix /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/express/lib/router/index.js:293:23
      5    2.5%        Function: ^parse /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/cookie/index.js:48:15
      5  100.0%          Function: ^getcookie /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/express-session/index.js:529:19
      5  100.0%            Function: ^session /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/express-session/index.js:179:26
      5    2.5%        Function: ^clone /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/mongodb/lib/sessions.js:562:17
      5  100.0%          Function: ^completeEndSession /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/mongodb/lib/sessions.js:138:40
      5  100.0%            Function: ^<anonymous> /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/mongodb/lib/sessions.js:133:52
      4    2.0%        LazyCompile: *command /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/mongodb/lib/cmap/connection.js:254:12
      3   75.0%          Function: ^<anonymous> /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/mongodb/lib/sdam/server.js:204:42
      3  100.0%            LazyCompile: *processWaitQueue /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/mongodb/lib/cmap/connection_pool.js:426:26
      1   25.0%          Function: ^executeScram /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/mongodb/lib/cmap/auth/scram.js:74:22
      1  100.0%            Function: ^auth /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/mongodb/lib/cmap/auth/scram.js:39:9
      4    2.0%        Function: ^header /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/express/lib/response.js:777:29
      3   75.0%          Function: ^send /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/express/lib/response.js:111:25
      3  100.0%            Function: ^done /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/express/lib/response.js:1033:27
      1   25.0%          Function: ^contentType /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/express/lib/response.js:619:32
      1  100.0%            Function: ^send /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/express/lib/response.js:111:25
      4    2.0%        Function: ^fromString /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/mongodb/lib/utils.js:370:22
      4  100.0%          Function: ^ns /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/mongodb/lib/utils.js:348:12
      4  100.0%            Function: ^<anonymous> /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/mongodb/lib/cursor/abstract_cursor.js:442:42
      4    2.0%        Function: ^databaseNamespace /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/mongodb/lib/utils.js:430:27
      4  100.0%          Function: ^Msg /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/mongodb/lib/cmap/commands.js:469:16
      4  100.0%            Function: ^command /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/mongodb/lib/cmap/connection.js:254:12
      4    2.0%        Function: ^asString /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/date-format/lib/index.js:29:18
      4  100.0%          Function: ^timestampLevelAndCategory /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/log4js/lib/layouts.js:42:35
      4  100.0%            Function: ^colouredLayout /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/log4js/lib/layouts.js:73:24
      3    1.5%        LazyCompile: *Template /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/ejs/lib/ejs.js:509:18
      3  100.0%          Function: ^compile /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/ejs/lib/ejs.js:381:35
      3  100.0%            Function: ^handleCache /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/ejs/lib/ejs.js:210:21
      3    1.5%        Function: ^readPackage node:internal/modules/cjs/loader:290:21
      2   66.7%          Function: ^readPackageScope node:internal/modules/cjs/loader:321:26
      2  100.0%            Function: ^trySelf node:internal/modules/cjs/loader:441:17
      1   33.3%          Function: ^resolveExports node:internal/modules/cjs/loader:472:24
      1  100.0%            Function: ^Module._findPath node:internal/modules/cjs/loader:494:28
      3    1.5%        Function: ^exports.escapeXML /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/ejs/lib/utils.js:96:30
      3  100.0%          Function: ^<anonymous> :1:20
      3  100.0%            Function: ^anonymous /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/ejs/lib/ejs.js:695:59
      3    1.5%        Function: ^FastBuffer node:internal/buffer:958:14
      2   66.7%          Function: ^createUnsafeBuffer node:internal/buffer:1059:28
      2  100.0%            Function: ^createPool node:buffer:151:20
      1   33.3%          Function: ^alloc node:buffer:360:30
      1  100.0%            Function: ^serialize /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/bson/lib/bson.js:124:19
      3    1.5%        Function: ^<anonymous> node:internal/fs/utils:358:35
      3  100.0%          Function: ^<anonymous> node:internal/fs/utils:669:38
      3  100.0%            Function: ^<anonymous> node:internal/fs/utils:681:42
      3    1.5%        Function: ^<anonymous> /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/mongodb/lib/cmap/connect.js:78:43
      3  100.0%          LazyCompile: ~prepareHandshakeDocument /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/mongodb/lib/cmap/connect.js:146:34
      3  100.0%            LazyCompile: ~performInitialHandshake /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/mongodb/lib/cmap/connect.js:62:33
      2    1.0%        LazyCompile: ~isIPv6 node:internal/net:35:16
      2  100.0%          LazyCompile: ~isIP node:internal/net:39:14
      1   50.0%            LazyCompile: ~parseSslOptions /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/mongodb/lib/cmap/connect.js:229:25
      1   50.0%            LazyCompile: ~lookupAndConnect node:net:1017:26
      2    1.0%        LazyCompile: ~checkServer /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/mongodb/lib/sdam/monitor.js:143:21
      2  100.0%          LazyCompile: ~<anonymous> /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/mongodb/lib/sdam/monitor.js:229:12
      2  100.0%            LazyCompile: ~executeAndReschedule /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/mongodb/lib/utils.js:702:34
      2    1.0%        LazyCompile: *parseTemplateText /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/ejs/lib/ejs.js:761:31
      2  100.0%          LazyCompile: *compile /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/ejs/lib/ejs.js:571:21
      2  100.0%            Function: ^compile /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/ejs/lib/ejs.js:381:35
      2    1.0%        LazyCompile: *next /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/express/lib/router/index.js:177:16
      1   50.0%          Function: ^compression /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/compression/index.js:59:31
      1  100.0%            LazyCompile: *trim_prefix /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/express/lib/router/index.js:293:23
      1   50.0%          Function: ^<anonymous> /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/connect-flash/lib/flash.js:18:18
      1  100.0%            LazyCompile: *trim_prefix /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/express/lib/router/index.js:293:23
      2    1.0%        Function: ^translatePeerCertificate node:_tls_common:125:34
      1   50.0%          Function: ^translatePeerCertificate node:_tls_common:125:34
      1  100.0%            Function: ^TLSSocket.getPeerCertificate node:_tls_wrap:986:50
      1   50.0%          Function: ^TLSSocket.getPeerCertificate node:_tls_wrap:986:50
      1  100.0%            Function: ^onConnectSecure node:_tls_wrap:1518:25
      2    1.0%        Function: ^stat node:internal/modules/cjs/loader:151:14
      1   50.0%          Function: ^tryFile node:internal/modules/cjs/loader:384:17
      1  100.0%            Function: ^tryExtensions node:internal/modules/cjs/loader:400:23
      1   50.0%          Function: ^Module._findPath node:internal/modules/cjs/loader:494:28
      1  100.0%            Function: ^Module._resolveFilename node:internal/modules/cjs/loader:848:35
      2    1.0%        Function: ^createRegex /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/ejs/lib/ejs.js:560:25
      2  100.0%          Function: ^Template /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/ejs/lib/ejs.js:509:18
      2  100.0%            Function: ^compile /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/ejs/lib/ejs.js:381:35
      2    1.0%        Function: ^<anonymous> /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/ejs/lib/ejs.js:742:32
      2  100.0%          LazyCompile: *compile /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/ejs/lib/ejs.js:571:21
      2  100.0%            Function: ^compile /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/ejs/lib/ejs.js:381:35
    163    5.2%      Function: ^writevGeneric node:internal/stream_base_commons:122:23
    163  100.0%        Function: ^Socket._writeGeneric node:net:791:42
    163  100.0%          Function: ^Socket._writev node:net:823:36
    159   97.5%            Function: ^doWrite node:internal/streams/writable:398:17
      4    2.5%            LazyCompile: ~doWrite node:internal/streams/writable:398:17
     71    2.3%      Function: ^handleWriteReq node:internal/stream_base_commons:45:24
     71  100.0%        Function: ^writeGeneric node:internal/stream_base_commons:147:22
     71  100.0%          Function: ^Socket._writeGeneric node:net:791:42
     71  100.0%            Function: ^Socket._write node:net:828:35
     55    1.8%      Function: ^initialize /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/passport/lib/middleware/initialize.js:51:29
     35   63.6%        LazyCompile: *trim_prefix /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/express/lib/router/index.js:293:23
     35  100.0%          LazyCompile: *next /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/express/lib/router/index.js:177:16
     35  100.0%            Function: ^<anonymous> /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/express-session/index.js:485:38
     20   36.4%        Function: ^handle /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/express/lib/router/layer.js:86:49
     20  100.0%          Function: ^trim_prefix /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/express/lib/router/index.js:293:23
     14   70.0%            LazyCompile: *next /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/express/lib/router/index.js:177:16
      6   30.0%            Function: ^<anonymous> /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/express/lib/router/index.js:280:64
     55    1.8%      Function: ^compile /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/ejs/lib/ejs.js:571:21
     55  100.0%        Function: ^compile /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/ejs/lib/ejs.js:381:35
     54   98.2%          Function: ^handleCache /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/ejs/lib/ejs.js:210:21
     34   63.0%            Function: ^includeFile /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/ejs/lib/ejs.js:309:21
     20   37.0%            Function: ^tryHandleCache /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/ejs/lib/ejs.js:254:24
      1    1.8%          LazyCompile: ~handleCache /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/ejs/lib/ejs.js:210:21
      1  100.0%            LazyCompile: ~tryHandleCache /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/ejs/lib/ejs.js:254:24
     53    1.7%      LazyCompile: *compile /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/ejs/lib/ejs.js:571:21
     53  100.0%        Function: ^compile /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/ejs/lib/ejs.js:381:35
     53  100.0%          Function: ^handleCache /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/ejs/lib/ejs.js:210:21
